Date,High,Low,Open,Close,Volume,Adj Close
2021-12-30,252.0,244.5,247.5,247.5,296370,247.5
2021-12-31,256.5,247.5,249.0,255.0,151353,255.0
2022-01-04,260.5,254.0,259.5,258.5,400538,258.5
2022-01-05,265.3380126953125,250.0,250.0,262.0,1168789,262.0
2022-01-06,263.0,258.5,258.5,262.5,1156563,262.5
2022-01-07,263.5,254.0,254.0,263.5,403473,263.5
2022-01-10,266.0,259.5,262.0,260.5,422652,260.5
2022-01-11,263.0,258.0,258.0,261.5,208519,261.5
2022-01-12,267.0,258.5,259.0,263.0,328895,263.0
2022-01-13,269.5,260.5,262.0,267.0,239152,267.0
2022-01-14,272.5,262.5,262.5,271.5,433090,271.5
2022-01-17,276.0,270.0,270.0,273.5,724584,273.5
2022-01-18,281.5,262.5,281.5,265.5,1185880,265.5
2022-01-19,267.4580078125,262.5,265.0,263.0,1903506,263.0
2022-01-20,266.3450012207031,260.0,266.0,265.0,1063833,265.0
2022-01-21,263.0,257.5,257.5,260.0,1099990,260.0
2022-01-24,262.5,238.0,261.0,241.0,1583001,241.0
2022-01-25,248.0,233.5,244.0,240.0,898203,240.0
2022-01-26,245.27499389648438,236.0,240.0,239.5,772563,239.5
2022-01-27,240.0,235.5,237.0,238.5,324853,238.5
2022-01-28,244.0,225.5,244.0,230.5,1515354,230.5
2022-01-31,237.0,226.5,226.5,237.0,709425,237.0
2022-02-01,244.0,238.5,239.5,243.0,517472,243.0
2022-02-02,244.5,239.5,244.0,241.0,351456,241.0
2022-02-03,242.5,238.5,241.0,240.0,303176,240.0
2022-02-04,242.0,236.5,240.0,240.0,525893,240.0
2022-02-07,242.5,234.5,234.5,234.5,488240,234.5
2022-02-08,238.0,230.5,230.5,234.0,257448,234.0
2022-02-09,242.0,231.5,231.5,240.0,386319,240.0
2022-02-10,242.5,235.0,235.5,241.5,340875,241.5
2022-02-11,241.5,235.0,238.0,240.5,301267,240.5
2022-02-14,238.0,231.5,235.5,237.0,504289,237.0
2022-02-15,245.0,229.0,229.0,242.5,302703,242.5
2022-02-16,246.1840057373047,236.5,238.5,239.5,633550,239.5
2022-02-17,241.0,236.5,239.5,237.0,358915,237.0
2022-02-18,241.5,232.5,241.5,234.5,505143,234.5
2022-02-21,240.0,227.72300720214844,240.0,232.5,479368,232.5
2022-02-22,232.0,225.0,228.5,229.0,501306,229.0
2022-02-23,237.0,230.5,230.5,232.0,522605,232.0
2022-02-24,229.0,215.0,227.0,218.0,472695,218.0
2022-02-25,223.69000244140625,217.0,220.0,222.5,467894,222.5
2022-02-28,223.5,211.5,223.5,219.5,422883,219.5
