Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
SCHW,Charles Schwab Corporation,78.57,35,0,56,6,97,47,-17,19,9,58,155
ISRG,Intuitive Surgical,491.75,0,-11,73,17,79,9,-18,63,21,75,154
EBAY,eBay Inc.,66.33,0,0,56,9,65,7,7,61,11,86,151
GRMN,Garmin,208.63,-75,-4,91,14,26,1,-10,116,16,123,149
PNR,Pentair,88.31,10,-33,98,57,132,27,-26,-3,19,17,149
LII,Lennox International,578.65,0,-20,101,33,114,28,-13,-2,22,35,149
NOW,ServiceNow,823.91,-5,-35,96,77,133,-7,-28,34,17,16,149
SYF,Synchrony Financial,53.87,8,-20,69,16,73,23,-26,65,13,75,148
VICI,Vici Properties,32.0,-7,22,37,10,62,-7,38,2,52,85,147
ETN,Eaton Corporation,295.49,35,-38,1,109,107,6,-30,-4,67,39,146
SNA,Snap-on,329.78,-1,-14,28,54,67,23,-25,28,52,78,145
RL,Ralph Lauren Corporation,225.3,0,-9,73,29,93,18,-11,24,21,52,145
LNT,Alliant Energy,63.56,9,28,47,9,93,1,38,4,8,51,144
VTR,Ventas,67.7,0,25,51,17,93,-3,41,2,10,50,143
CFG,Citizens Financial Group,40.99,0,-14,55,9,50,38,-20,65,9,92,142
EMR,Emerson Electric,111.81,0,-18,91,59,132,-10,-20,19,21,10,142
XOM,ExxonMobil,115.9,35,4,1,39,79,28,3,-14,45,62,141
C,Citigroup,71.82,14,-13,69,13,83,38,-14,24,9,57,140
MDLZ,Mondelez International,63.95,-44,20,-2,177,151,-11,22,-18,-4,-11,140
MO,Altria,58.1,0,22,49,40,111,-14,26,5,11,28,139
TTWO,Take-Two Interactive,209.62,13,29,24,8,74,28,-4,24,15,63,137
PFG,Principal Financial Group,84.12,9,28,10,50,97,27,-5,3,13,38,135
ELV,Elevance Health,434.65,112,13,-23,0,102,30,10,-20,12,32,134
NTRS,Northern Trust,98.85,0,-11,54,6,49,26,-14,65,8,85,134
GM,General Motors,49.44,35,-1,60,6,100,28,4,-7,8,33,133
MOH,Molina Healthcare,315.01,0,12,-26,161,147,-2,13,-23,-3,-15,132
CBRE,CBRE Group,130.12,0,-10,71,17,78,27,-18,36,9,54,132
FFIV,"F5, Inc.",268.3,0,-9,73,9,73,24,-11,34,12,59,132
UNP,Union Pacific Corporation,234.76,-56,-8,0,193,129,-10,-7,5,14,2,131
XEL,Xcel Energy,70.09,13,10,30,7,60,26,2,38,4,70,130
REG,Regency Centers,72.03,0,2,47,48,97,20,-4,1,14,31,128
DFS,Discover Financial,164.41,0,-13,59,17,63,13,-20,62,9,64,127
MSFT,Microsoft,386.81,0,-35,0,168,133,7,-28,-5,20,-6,127
TRMB,Trimble Inc.,70.71,30,-14,58,5,79,37,-20,24,7,48,127
BAC,Bank of America,42.49,13,-13,67,13,80,35,-21,24,9,47,127
FOXA,Fox Corporation (Class A),53.21,0,5,47,0,52,24,-5,46,9,74,126
HUBB,Hubbell Incorporated,339.21,-2,-38,0,177,137,-13,-61,-4,66,-12,125
TPR,"Tapestry, Inc.",72.92,0,-1,59,16,74,23,-10,24,14,51,125
LOW,Lowe's,226.24,0,-26,0,161,135,7,-26,-6,14,-11,124
ACGL,Arch Capital Group,92.46,31,0,0,57,88,-9,10,-15,46,32,120
STLD,Steel Dynamics,126.65,19,-1,2,50,70,18,-11,-10,52,49,119
PKG,Packaging Corporation of America,197.21,0,-36,89,56,109,26,-33,-5,21,9,118
FOX,Fox Corporation (Class B),49.39,0,1,46,0,47,25,-5,46,4,70,117
MRK,Merck & Co.,94.71,1,1,-26,161,137,-2,13,-30,-1,-20,117
GILD,Gilead Sciences,105.85,-41,45,30,30,64,-53,38,34,34,53,117
OTIS,Otis Worldwide,101.91,0,23,9,0,32,24,38,1,21,84,116
PODD,Insulet Corporation,265.37,30,-11,24,5,48,48,-18,36,1,67,115
ESS,Essex Property Trust,302.07,7,5,58,9,79,28,-4,2,9,35,114
VLO,Valero Energy,134.83,35,0,-23,39,51,36,-22,4,45,63,114
CVS,CVS Health,68.63,28,38,4,-12,58,33,41,4,-23,55,113
PCAR,Paccar,98.3,-49,-8,0,154,97,-7,-26,20,29,16,113
AMZN,Amazon,194.95,-5,-16,92,16,87,7,-21,24,15,25,112
VMC,Vulcan Materials Company,238.72,28,-21,0,55,62,45,-14,-3,22,50,112
CRWD,CrowdStrike,369.0,28,-11,24,0,41,47,-13,19,15,68,109
BLK,BlackRock,953.5,27,-33,71,17,82,-1,-25,37,16,27,109
CEG,Constellation Energy,219.49,8,-16,89,0,81,7,-20,24,14,25,106
TSCO,Tractor Supply,51.86,-56,-8,0,83,19,-6,19,-7,81,87,106
ECL,Ecolab,251.9,-61,27,91,17,74,18,-2,1,14,31,105
TYL,Tyler Technologies,568.9,0,-10,85,12,87,24,-13,-7,13,17,104
STT,State Street Corporation,90.35,12,-13,37,11,47,28,-18,37,9,56,103
MAR,Marriott International,244.84,0,-14,31,53,70,6,-19,24,22,33,103
COP,ConocoPhillips,102.3,56,1,-24,43,76,66,2,-40,-3,25,101
EOG,EOG Resources,123.53,0,-15,1,40,26,22,-12,19,46,75,101
CTVA,Corteva,61.83,27,0,32,0,59,28,-19,27,6,42,101
GD,General Dynamics,265.66,0,0,0,49,49,-2,11,-10,52,51,100
DVA,DaVita,149.08,25,-21,1,15,20,26,-24,64,14,80,100
CSCO,Cisco,60.6,0,0,27,9,36,27,-8,23,20,62,98
FCX,Freeport-McMoRan,40.71,42,3,-16,53,82,46,-15,-15,-1,15,97
JNPR,Juniper Networks,36.15,28,0,0,49,77,27,-6,-16,15,20,97
EXPD,Expeditors International,115.69,-51,4,-2,126,77,-7,23,-16,20,20,97
EA,Electronic Arts,143.29,28,4,1,2,35,30,23,-9,16,60,95
HBAN,Huntington Bancshares,14.94,7,-21,68,16,70,34,-21,-2,11,22,92
ODFL,Old Dominion,161.13,-56,-20,-5,182,101,-12,-14,-10,27,-9,92
TEL,TE Connectivity,146.26,0,-1,0,57,56,27,-7,1,13,34,90
AMAT,Applied Materials,154.37,19,-19,-9,144,135,-7,-32,-28,21,-46,89
NOC,Northrop Grumman,489.52,24,6,3,53,86,-5,11,-10,7,3,89
TDY,Teledyne Technologies,499.56,19,3,31,9,62,-2,-17,35,10,26,88
EXPE,Expedia Group,173.13,0,-9,28,6,25,28,-8,33,9,62,87
KEY,KeyCorp,16.11,14,-20,67,0,61,43,-21,-6,8,24,85
VZ,Verizon,43.74,0,23,9,5,37,-3,38,2,9,46,83
CPT,Camden Property Trust,120.05,0,5,47,0,52,25,-4,3,6,30,82
SBUX,Starbucks,99.28,0,0,21,8,29,24,-5,32,2,53,82
BMY,Bristol Myers Squibb,60.44,0,19,21,0,40,19,13,27,-18,41,81
URI,United Rentals,630.46,14,-23,0,59,50,9,-22,-8,52,31,81
KVUE,Kenvue,23.4,0,21,22,0,43,21,21,-7,0,35,78
LH,Labcorp,235.7,-6,-8,34,10,30,4,-3,34,13,48,78
FANG,Diamondback Energy,158.48,32,-30,-8,42,36,54,-30,-27,45,42,78
CCL,Carnival,21.19,14,-20,28,0,22,38,-21,24,14,55,77
HPE,Hewlett Packard Enterprise,16.24,0,-20,-3,37,14,27,-32,19,49,63,77
BLDR,Builders FirstSource,128.75,0,-33,-7,60,20,23,-22,-11,66,56,76
DAL,Delta Air Lines,46.97,0,-20,32,14,26,27,-23,24,21,49,75
MAA,Mid-America Apartment Communities,162.56,-6,25,37,2,58,-12,31,-8,6,17,75
AMT,American Tower,214.26,28,18,1,0,47,1,38,-17,6,28,75
MTB,M&T Bank,177.03,8,-20,49,17,54,33,-20,-3,9,19,73
DELL,Dell Technologies,98.91,20,-19,-4,27,24,49,-13,-8,21,49,73
EQIX,Equinix,851.2,0,-11,37,29,55,10,-12,-2,21,17,72
PCG,PG&E Corporation,17.2,39,0,-9,0,30,1,14,-8,35,42,72
RF,Regions Financial Corporation,21.68,8,-21,56,17,60,30,-21,-6,9,12,72
PSX,Phillips 66,128.84,35,11,-15,36,67,-2,3,-40,44,5,72
CARR,Carrier Global,66.43,28,0,0,0,28,27,4,-8,21,44,72
AES,AES Corporation,13.15,64,6,-21,-6,43,65,14,-32,-19,28,71
SHW,Sherwin-Williams,336.16,-50,-8,0,185,127,-56,-6,-8,14,-56,71
IRM,Iron Mountain,88.41,27,-69,0,52,10,49,-30,-10,51,60,70
EIX,Edison International,58.93,33,0,-11,1,23,-2,11,-8,45,46,69
ABT,Abbott Laboratories,126.78,-58,42,35,8,27,8,-4,27,9,40,67
EG,Everest Group,354.85,-2,0,-15,50,33,-10,11,-16,49,34,67
INVH,Invitation Homes,34.04,4,16,0,2,22,26,30,-20,9,45,67
PNC,PNC Financial Services,173.44,0,-26,69,9,52,27,-20,-3,9,13,65
FE,FirstEnergy,39.79,34,0,0,50,84,-8,-9,-12,9,-20,64
NTAP,NetApp,92.17,0,-16,-4,52,32,28,-8,-9,17,28,60
CRM,Salesforce,278.99,0,-22,26,17,21,25,-27,25,16,39,60
GEV,GE Vernova,336.71,35,-20,0,0,15,49,-31,26,0,44,59
WDC,Western Digital,44.53,19,-16,0,13,16,50,-13,-7,13,43,59
CAT,Caterpillar Inc.,336.43,-4,-35,0,59,20,-12,2,-3,52,39,59
AVB,AvalonBay Communities,211.5,0,-9,56,11,58,1,-4,-7,10,0,58
FTV,Fortive,74.67,0,-10,0,28,18,27,-12,23,2,40,58
DPZ,Domino's,466.05,10,4,1,5,20,23,-5,6,13,37,57
TFC,Truist Financial,41.32,0,-13,53,0,40,27,-18,-2,9,16,56
NEM,Newmont,47.78,42,23,2,-6,61,-2,4,-13,5,-6,55
RMD,ResMed,221.11,-6,-16,48,0,26,-14,-25,60,8,29,55
ADSK,Autodesk,267.9,15,-21,33,9,36,28,-21,-3,14,18,54
MDT,Medtronic,91.22,-19,43,12,0,36,-12,14,8,8,18,54
MLM,Martin Marietta Materials,483.77,34,-65,-5,55,19,49,-26,-10,22,35,54
UBER,Uber,74.37,7,29,7,0,43,9,-5,-14,21,11,54
TSN,Tyson Foods,60.42,0,20,1,-23,-2,23,37,-11,6,55,53
UAL,United Airlines Holdings,74.03,0,-16,29,6,19,25,-26,24,11,34,53
DLR,Digital Realty,151.42,10,-38,89,17,78,26,-62,-3,14,-25,53
MAS,Masco,70.42,-1,-14,0,60,45,23,-21,-11,16,7,52
UDR,"UDR, Inc.",43.62,0,5,48,2,55,-9,-4,2,8,-3,52
MKTX,MarketAxess,217.84,91,0,-7,-24,60,35,7,-11,-39,-8,52
SLB,Schlumberger,41.29,35,5,-49,30,21,28,2,3,-5,28,49
PRU,Prudential Financial,110.79,16,-33,0,50,33,35,-27,-6,14,16,49
SOLV,Solventum,75.0,0,5,0,0,5,24,-7,26,0,43,48
NCLH,Norwegian Cruise Line Holdings,20.09,14,-21,28,0,21,7,-21,24,15,25,46
CCI,Crown Castle,104.6,35,11,0,-23,23,31,36,-15,-30,22,45
JKHY,Jack Henry & Associates,175.29,-50,6,47,0,3,25,13,-6,6,38,41
IVZ,Invesco,15.53,0,-14,1,0,-13,27,-18,36,8,53,40
UHS,Universal Health Services,178.7,23,-15,-4,17,21,27,-15,-14,21,19,40
BA,Boeing,172.83,19,0,-5,-8,6,46,-14,8,-6,34,40
MSCI,MSCI Inc.,566.21,19,-36,26,9,18,35,-28,-2,15,20,38
MPC,Marathon Petroleum,151.97,28,2,-23,44,51,40,-13,-38,-3,-14,37
ABNB,Airbnb,126.14,0,-8,-3,0,-11,27,-11,18,13,47,36
PAYC,Paycom,215.4,18,0,1,-19,0,28,19,21,-32,36,36
MU,Micron Technology,102.88,49,5,-14,17,57,7,-13,-31,15,-22,35
ZBRA,Zebra Technologies,285.01,0,-30,0,-2,-32,27,-32,61,8,64,32
F,Ford Motor Company,10.02,28,2,-29,-12,-11,28,12,-7,9,42,31
AWK,American Water Works,141.79,-14,21,5,1,13,-13,25,1,3,16,29
KEYS,Keysight Technologies,155.15,15,-17,18,0,16,28,-13,24,-27,12,28
ANSS,Ansys,324.45,15,-20,20,6,21,-8,-27,24,18,7,28
D,Dominion Energy,54.98,0,0,47,-29,18,12,2,-9,5,10,28
WAT,Waters Corporation,363.22,-13,-8,37,9,25,-8,-26,28,9,3,28
BDX,Becton Dickinson,231.94,20,-18,0,0,2,26,4,6,-10,26,28
TXN,Texas Instruments,180.75,0,-9,0,17,8,25,-8,-10,11,18,26
AOS,A. O. Smith,66.7,0,-8,-21,53,24,-2,10,-27,20,1,25
FITB,Fifth Third Bancorp,39.42,7,-14,1,17,11,27,-20,-6,11,12,23
NXPI,NXP Semiconductors,202.65,-4,-3,-4,58,47,-7,-11,-27,21,-24,23
JNJ,Johnson & Johnson,163.02,-49,28,6,2,-13,-6,39,2,1,36,23
PHM,PulteGroup,105.35,0,-73,-2,60,-15,23,4,-13,24,38,23
AVY,Avery Dennison,176.98,-2,-102,-14,147,29,-9,10,-22,15,-6,23
ALLE,Allegion,127.75,0,-8,0,16,8,29,-23,-11,17,12,20
CMCSA,Comcast,36.5,7,0,-14,-4,-11,26,18,-11,-3,30,19
ERIE,Erie Indemnity,410.03,-45,15,0,34,4,-13,15,-14,26,14,18
AMCR,Amcor,9.72,-5,-1,0,0,-6,-7,38,-14,6,23,17
TAP,Molson Coors Beverage Company,59.0,-48,25,6,9,-8,1,25,1,-3,24,16
MKC,McCormick & Company,80.7,-49,22,10,0,-17,-11,36,1,5,31,14
DG,Dollar General,81.67,21,6,-36,-12,-21,30,24,1,-21,34,13
KDP,Keurig Dr Pepper,33.41,12,22,0,0,34,-9,-4,-17,7,-23,11
