Symbol,Name,Close,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
GNS.L,Genus,2100.0,4,9,3,-29,-13,-11,10,9,-36,-28,-41
BHMG.L,BH Macro,394.0,-3,9,3,0,9,-18,4,-12,-24,-50,-41
ITV.L,ITV,79.55,0,2,4,-88,-82,9,13,17,1,40,-42
FXPO.L,Ferrexpo,70.4,0,0,1,-36,-35,27,9,-8,-37,-9,-44
VTY.L,Vistry Group,611.6,-3,3,-29,-8,-37,-8,14,-28,15,-7,-44
TRY.L,TR Property Investment Trust,316.0,-12,19,-3,-17,-13,-32,16,-24,8,-32,-45
DRX.L,Drax Group,607.0,-12,0,0,0,-12,-36,13,-17,7,-33,-45
ASC.L,ASOS,309.0,18,0,-13,-47,-42,28,17,-12,-39,-6,-48
THRG.L,BlackRock Throgmorton Trust,571.0,0,5,-13,-9,-17,-18,14,-29,-1,-34,-51
ATG.L,Auction Technology Group,541.0,-49,-5,14,0,-40,-1,-10,24,-27,-14,-54
WPS.L,W. A. G. Payment Solutions,60.0,25,-18,-15,0,-8,-4,-16,-13,-16,-49,-57
JUP.L,Jupiter Fund Management,77.3,103,2,-19,-71,15,9,14,-18,-80,-75,-60
TATE.L,Tate & Lyle,576.5,0,0,-21,-24,-45,-18,16,-20,6,-16,-61
PAGE.L,PageGroup,287.8,44,-31,-47,-17,-51,44,2,-49,-8,-11,-62
GPE.L,Great Portland Estates,325.5,0,22,-29,-40,-47,1,14,2,-34,-17,-64
TRN.L,Trainline,264.8,0,-78,-12,0,-90,19,4,-12,11,22,-68
RCP.L,RIT Capital Partners,1890.0,-9,-3,0,-17,-29,-18,16,-6,-33,-41,-70
DOCS.L,Dr. Martens,59.13,37,0,-130,0,-93,36,16,-9,-28,15,-78
WKP.L,Workspace Group,446.5,-3,10,-23,-45,-61,-18,14,-25,11,-18,-79
PHP.L,Primary Health Properties,97.9,-38,22,5,-33,-44,-45,37,6,-35,-37,-81
BME.L,B&M,337.93,0,17,-50,-16,-49,9,27,-66,-7,-37,-86
AO.L,AO World,94.8,-25,-4,-7,-41,-77,-16,14,-30,17,-15,-92
BYG.L,Big Yellow Group,991.0,-21,19,-26,-7,-35,-53,14,-26,8,-57,-92
BRWM.L,BlackRock World Mining Trust,481.0,0,0,-33,-6,-39,-9,15,-41,-19,-54,-93
EMG.L,Man Group,174.0,0,-32,-39,-2,-73,-2,1,-7,-13,-21,-94
SPI.L,Spire Healthcare,197.6,-3,0,-32,0,-35,-18,12,-49,-5,-60,-95
DOM.L,Domino's Pizza,268.2,27,-34,-23,-14,-44,-2,-30,-14,-6,-52,-96
FSFL.L,Foresight Solar Fund,76.9,-2,0,-72,-17,-91,9,-2,3,-24,-14,-105
DLN.L,Derwent London,1933.0,-17,19,-24,-40,-62,-18,32,-27,-35,-48,-110
GRI.L,Grainger,213.0,-4,15,-33,-33,-55,-11,14,-55,-6,-58,-113
NBPE.L,NB Private Equity Partners,1478.0,0,-37,-62,0,-99,6,15,-34,-2,-15,-114
WWH.L,Worldwide Healthcare Trust,279.85,-14,-49,-14,-3,-80,-9,4,-29,-2,-36,-116
BBOX.L,Tritax Big Box REIT,141.51,-31,0,-13,-21,-65,-31,14,-30,-5,-52,-117
CRST.L,Crest Nicholson,184.8,-8,18,-37,-45,-72,-20,14,-33,-7,-46,-118
SEQI.L,Sequoia Economic Infrastructure Income Fund,75.78,-3,-27,-16,-43,-89,-6,16,-9,-37,-36,-125
SAFE.L,Safestore,633.5,-8,10,-27,-17,-42,-39,14,-26,-32,-83,-125
INPP.L,International Public Partnerships,112.23,-9,0,-28,-28,-65,-18,16,-23,-36,-61,-126
HICL.L,HICL Infrastructure Company,110.6,-21,-1,-30,-20,-72,-16,16,-26,-29,-55,-127
NESF.L,NextEnergy Solar Fund,69.33,-24,20,-29,-27,-60,-45,16,1,-44,-72,-132
TRIG.L,The Renewables Infrastructure Group,78.06,-2,12,-85,-29,-104,-2,32,-27,-37,-34,-138
HBR.L,Harbour Energy,180.7,56,-76,-17,0,-37,8,-72,-36,-3,-103,-140
BBH.L,Bellevue Healthcare Trust,119.85,-8,-55,-13,-6,-82,-6,7,-29,-34,-62,-144
FGEN.L,Foresight Environmental Infrastructure,74.6,-2,19,-104,-20,-107,-2,16,-30,-22,-38,-145
HAS.L,Hays,75.4,37,-26,-47,-43,-79,-1,3,-41,-35,-74,-153
GCP.L,GCP Infrastructure Investments,70.6,-24,-12,-33,-33,-102,-35,11,9,-38,-53,-155
SEIT.L,SDCL Energy Efficiency Income Trust,46.65,-3,-81,-29,-1,-114,-9,14,-32,-26,-53,-167
UKW.L,Greencoat UK Wind,111.3,-38,0,-32,-7,-77,-54,14,-31,-20,-91,-168
OCDO.L,Ocado Group,267.0,0,-7,-69,-36,-112,9,4,-30,-43,-60,-172
THG.L,THG,28.28,27,-86,-72,0,-131,62,-32,-42,-32,-44,-175
MCG.L,Mobico Group,28.68,-39,-88,-4,16,-115,-57,-13,-13,11,-72,-187
APAX.L,Apax Global Alpha,122.0,12,-81,-72,-17,-158,4,14,-35,-32,-49,-207
ASHM.L,Ashmore Group,145.0,-12,-35,-28,-45,-120,-18,7,-22,-55,-88,-208
BSIF.L,Bluefield Solar Income Fund,92.53,-78,60,-72,-17,-107,-84,16,10,-46,-104,-211
PNN.L,Pennon Group,480.2,-27,0,-52,-41,-120,-35,33,-60,-53,-115,-235
SYNC.L,Syncona,87.67,-48,-10,-72,-46,-176,-16,14,-36,-45,-83,-259
VCT.L,Victrex,815.0,-24,-45,-117,-41,-227,-28,8,-11,-37,-68,-295
