Symbol,Name,1H Chikou Direction,1H Chikou Count,1H Chikou State,4H Chikou Direction,4H Chikou Count,4H Chikou State,1D Chikou Direction,1D Chikou Count,1D Chikou State,1W Chikou Direction,1W Chikou Count,1W Chikou State,1M Chikou Direction,1M Chikou Count,1M Chikou State,Chikou Score Sum
GBP_CHF,GBP/CHF,1,38,above chikou,-1,-35,below chikou,1,1,above chikou,1,14,above chikou,-1,-57,below chikou,-39
GBP_JPY,GBP/JPY,-1,-15,below chikou,-1,-7,below chikou,-1,-41,below chikou,-1,-3,below chikou,1,68,above chikou,2
GBP_NZD,GBP/NZD,1,33,above chikou,1,1,above chikou,1,15,above chikou,1,8,above chikou,1,44,above chikou,101
GBP_USD,GBP/USD,1,10,above chikou,-1,-61,below chikou,-1,-9,below chikou,-1,-1,below chikou,1,27,above chikou,-34
HK33_HKD,Hong Kong 33,-1,-51,below chikou,-1,-5,below chikou,-1,-17,below chikou,0,-20,below chikou,1,22,above chikou,-71
JP225Y_JPY,Japan 225 (JPY),1,20,above chikou,1,40,above chikou,1,1,above chikou,1,66,above chikou,1,74,above chikou,201
JP225_USD,Japan 225,1,20,above chikou,1,40,above chikou,1,1,above chikou,1,66,above chikou,1,74,above chikou,201
NAS100_USD,US Nas 100,1,18,above chikou,1,40,above chikou,1,5,above chikou,1,24,above chikou,1,35,above chikou,122
NATGAS_USD,Natural Gas,-1,-3,below chikou,1,20,above chikou,1,19,above chikou,0,-26,below chikou,1,18,above chikou,28
NL25_EUR,Netherlands 25,1,13,above chikou,1,20,above chikou,1,2,above chikou,1,54,above chikou,1,32,above chikou,121
NZD_CAD,NZD/CAD,1,15,above chikou,-1,-1,below chikou,-1,-18,below chikou,0,5,above chikou,-1,-20,below chikou,-19
NZD_CHF,NZD/CHF,1,5,above chikou,-1,-38,below chikou,-1,-14,below chikou,1,12,above chikou,-1,-49,below chikou,-84
NZD_JPY,NZD/JPY,-1,-20,below chikou,-1,-7,below chikou,-1,-23,below chikou,-1,-4,below chikou,0,-2,below chikou,-56
NZD_USD,NZD/USD,1,4,above chikou,-1,-74,below chikou,-1,-14,below chikou,-1,-9,below chikou,-1,-24,below chikou,-117
SG30_SGD,Singapore 30,1,14,above chikou,1,23,above chikou,0,-9,below chikou,1,24,above chikou,1,27,above chikou,79
SGD_JPY,SGD/JPY,-1,-11,below chikou,-1,-1,below chikou,-1,-41,below chikou,-1,-3,below chikou,1,67,above chikou,11
SOYBN_USD,Soybeans,-1,-25,below chikou,1,2,above chikou,1,54,above chikou,1,38,above chikou,1,2,above chikou,71
SPX500_USD,US SPX 500,1,16,above chikou,1,34,above chikou,1,1,above chikou,1,25,above chikou,1,35,above chikou,111
SUGAR_USD,Sugar,0,28,above chikou,-1,-25,below chikou,1,50,above chikou,1,8,above chikou,-1,-18,below chikou,43
UK100_GBP,UK 100,1,17,above chikou,0,5,above chikou,0,-14,below chikou,1,75,above chikou,1,57,above chikou,140
UK10YB_GBP,UK 10Y Gilt,-1,-24,below chikou,1,13,above chikou,-1,-57,below chikou,-1,-29,below chikou,-1,-61,below chikou,-158
US2000_USD,US Russ 2000,1,18,above chikou,-1,-14,below chikou,-1,-13,below chikou,1,58,above chikou,1,27,above chikou,76
US30_USD,US Wall St 30,1,13,above chikou,-1,-15,below chikou,-1,-13,below chikou,1,25,above chikou,1,35,above chikou,45
USB02Y_USD,US 2Y T-Note,1,3,above chikou,-1,-77,below chikou,-1,-19,below chikou,-1,-29,below chikou,0,21,above chikou,-101
USB05Y_USD,US 5Y T-Note,1,3,above chikou,-1,-15,below chikou,-1,-64,below chikou,-1,-29,below chikou,-1,-1,below chikou,-106
USB10Y_USD,US 10Y T-Note,0,-55,below chikou,-1,-14,below chikou,-1,-60,below chikou,-1,-29,below chikou,-1,-2,below chikou,-160
USB30Y_USD,US T-Bond,-1,-56,below chikou,-1,-14,below chikou,-1,-59,below chikou,-1,-29,below chikou,-1,-7,below chikou,-165
USD_CHF,USD/CHF,0,68,above chikou,1,10,above chikou,1,12,above chikou,1,15,above chikou,-1,-40,below chikou,65
USD_DKK,USD/DKK,-1,-15,below chikou,1,69,above chikou,1,8,above chikou,1,17,above chikou,-1,-18,below chikou,61
USD_JPY,USD/JPY,-1,-13,below chikou,0,58,above chikou,-1,-42,below chikou,-1,-3,below chikou,0,62,above chikou,62
USD_MXN,USD/MXN,0,87,above chikou,1,69,above chikou,1,8,above chikou,-1,-75,below chikou,0,22,above chikou,111
USD_NOK,USD/NOK,-1,-4,below chikou,1,61,above chikou,1,3,above chikou,-1,-40,below chikou,-1,-17,below chikou,3
USD_SGD,USD/SGD,-1,-27,below chikou,1,65,above chikou,1,3,above chikou,0,-3,below chikou,-1,-29,below chikou,9
USD_TRY,USD/TRY,1,474,above chikou,1,474,above chikou,1,474,above chikou,1,279,above chikou,1,183,above chikou,1884
USD_ZAR,USD/ZAR,-1,-14,below chikou,1,14,above chikou,1,9,above chikou,-1,-4,below chikou,-1,-16,below chikou,-11
WHEAT_USD,Wheat,0,-27,below chikou,-1,-22,below chikou,1,55,above chikou,1,35,above chikou,1,7,above chikou,48
WTICO_USD,West Texas Oil,-1,-10,below chikou,-1,-34,below chikou,1,19,above chikou,0,32,above chikou,1,3,above chikou,10
XAG_USD,Silver,1,13,above chikou,-1,-12,below chikou,-1,-1,below chikou,0,-14,below chikou,1,35,above chikou,21
XAU_USD,Gold,1,12,above chikou,-1,-14,below chikou,-1,-9,below chikou,0,-15,below chikou,1,43,above chikou,17
XCU_USD,Copper,0,13,above chikou,0,40,above chikou,1,6,above chikou,1,51,above chikou,1,25,above chikou,135
XPD_USD,Palladium,0,3,above chikou,-1,-22,below chikou,-1,-12,below chikou,-1,-18,below chikou,1,12,above chikou,-37
XPT_USD,Platinum,1,12,above chikou,-1,-14,below chikou,-1,-1,below chikou,0,-15,below chikou,1,17,above chikou,-1
ZAR_JPY,ZAR/JPY,-1,-9,below chikou,-1,-2,below chikou,-1,-12,below chikou,1,6,above chikou,1,55,above chikou,38
