Index Holdings and weightings as of 5:40 PM ET 10/25/2024,,,,,,,
Symbol,Company Name,Index Weight,Last,Change,%Change,Volume,52 Week Range
FICO,Fair Isaac & Co Inc,0.53%,1999.97,+5.92,+0.30%,0.14 M,811.99 - 2103.70
TEL,TE Connectivity plc,0.49%,149.13,+2.26,+1.54%,1.28 M,115.00 - 159.98
MPWR,Monolithic Power Systems,0.48%,901.29,+1.26,+0.14%,0.57 M,392.10 - 959.64
MCHP,Microchip Technology Inc,0.44%,76.29,+0.43,+0.57%,3.94 M,68.75 - 100.57
IT,Gartner Inc,0.43%,513.36,-4.59,-0.89%,0.14 M,323.61 - 535.29
CTSH,Cognizant Tech Solutions Corp,0.40%,74.82,-0.04,-0.05%,4.91 M,62.14 - 80.27
HPQ,HP Inc,0.39%,36.88,+0.41,+1.12%,5.02 M,25.67 - 39.52
GLW,Corning Inc,0.39%,46.25,-0.56,-1.20%,3.96 M,26.37 - 47.72
DELL,Dell Technologies Inc-C,0.38%,122.55,+1.98,+1.64%,4.04 M,63.90 - 179.70
ON,On Semiconductor Corp,0.33%,71.25,+1.17,+1.67%,10.77 M,59.34 - 86.77
CDW,CDW Corp,0.31%,217.01,-2.15,-0.98%,0.98 M,185.04 - 263.37
ANSS,ANSYS Inc,0.31%,322.81,+1.44,+0.45%,0.3 M,258.01 - 364.31
KEYS,Keysight Technologies Inc,0.30%,155.98,+2.23,+1.45%,0.8 M,118.57 - 162.51
TYL,Tyler Technologies Inc,0.28%,605.86,-5.81,-0.95%,0.24 M,361.16 - 631.43
HPE,Hewlett Packard Enterprise Co,0.27%,19.46,+0.06,+0.31%,7.9 M,14.47 - 22.82
NTAP,NetApp Inc,0.27%,119.41,-0.43,-0.36%,1.16 M,70.82 - 135.01
SMCI,Super Micro Computer Inc,0.26%,47.27,+1.04,+2.25%,32.22 M,22.66 - 122.90
WDC,Western Digital Corp,0.25%,69.45,+3.13,+4.72%,17.64 M,35.62 - 81.55
GDDY,GoDaddy Inc A,0.25%,160.53,-0.92,-0.57%,0.68 M,71.15 - 167.65
PTC,PTC Inc,0.24%,187.01,+3.38,+1.84%,0.8 M,134.61 - 194.24
TDY,Teledyne Technologies Inc,0.24%,469.19,-3.67,-0.78%,0.21 M,355.41 - 474.15
STX,Seagate Technology,0.23%,103.01,-0.97,-0.93%,2.49 M,64.12 - 115.32
FSLR,First Solar Inc,0.23%,198.47,+2.43,+1.24%,1.88 M,129.22 - 306.77
ZBRA,Zebra Technologies Corp,0.20%,360.09,-1.96,-0.54%,0.47 M,194.59 - 380.05
TER,Teradyne Inc,0.20%,111.75,+1.03,+0.93%,3.57 M,81.08 - 163.21
AKAM,Akamai Technologies Inc,0.17%,101.97,-0.83,-0.81%,0.9 M,87.59 - 129.17
VRSN,VeriSign Inc,0.16%,181.26,-3.86,-2.09%,0.95 M,167.05 - 220.91
SWKS,Skyworks Solutions Inc,0.16%,95.20,+0.12,+0.13%,1.55 M,85.06 - 120.86
TRMB,Trimble Inc,0.16%,60.90,+0.34,+0.56%,0.73 M,39.57 - 65.55
GEN,Gen Digital Inc.,0.16%,26.97,-0.05,-0.19%,1.83 M,16.38 - 28.45
JBL,Jabil Inc,0.15%,124.72,-0.31,-0.25%,0.68 M,95.85 - 156.94
JNPR,Juniper Networks Inc,0.14%,39.08,-0.08,-0.20%,4.34 M,24.87 - 39.79
FFIV,"F5, Inc.",0.14%,216.87,+3.30,+1.55%,0.73 M,146.02 - 224.47
ENPH,Enphase Energy Inc,0.12%,83.83,+2.73,+3.37%,4.43 M,73.49 - 141.63
EPAM,EPAM Systems Inc,0.12%,191.52,+0.54,+0.28%,0.38 M,169.43 - 317.50
QRVO,"Qorvo, Inc",0.10%,99.01,-0.52,-0.52%,1.33 M,80.62 - 130.99
